Material Category,Product Name,Material Name,Manufacturer,EPD Declared Unit,Conversion Formula 1,Conversion Formula 2,Revit Declared Unit (m2 or m3),A1-A3 (GWP) kg C02-eq,A4 (GWP) kg C02-eq,C1 (GWP) kg C02-eq,C2 (GWP) kg C02-eq,C3 (GWP) kg C02-eq,C4 (GWP) kg C02-eq,D (GWP) kg C02-eq
Curtain Wall,WICTEC EL60,Aluminum Curtain Wall,Wicona,"Declared Unit Façade (2400x3600mm), Conversion factor to 1kg,  Conversion factor to 1m2. Aream2=2.4*3.6=8.64m2",Conversion factor to 1 kg = 1/592.43,Conversion factor to 1m2 = 0.116,m2,1.32E+01,0,0,0,5.91E-01,0,-7.56E-01
Brick,RTS_46_20 Red Clay Bricks,Red Clally Brick,Wienerberger,1 ton of clay brick. Assuming building uses Façade Cladding clay bricks (RT_60 285x135x60) where bricks/m2 = 47 bricks and 2.8kg/brick. ,Carbon figure for 1kg of bricks = GWP/1000,Total Weight of 1m2 of bricks = 47*2.8 = 131.6kg Carbon figure for 1m2 of bricks = GWPkg*131.6,m2,2.24E+01,1.59E+00,3.41E-01,5.70E-01,6.53E-01,9.78E-11,-1.42E+00
